date,total_trades,total_volume_usd,avg_trade_size,total_pnl,total_fees,win_rate,sentiment
2024-02-16,182,564896.51,3103.826978021978,5491.768834,27.22517,0.8021978021978022,greed
2024-02-17,94,406118.07,4320.405,1929.6418,62.055053,0.648936170212766,greed
2024-02-18,97,157048.17,1619.0532989690723,477.6248299999999,-3.140925,0.6288659793814433,greed
2024-02-19,101,286377.2,2835.417821782178,4317.768563,14.85262,0.7623762376237624,greed
2024-02-20,39,119419.72,3062.0441025641026,3263.628824,3.073675,0.7948717948717948,greed
2024-02-21,22,108047.51999999999,4911.250909090909,1858.7985700000002,2.970629,0.6818181818181818,greed
2024-02-22,88,373033.87,4239.02125,3894.1050699999996,25.45258,0.45454545454545453,greed
2024-02-23,143,111106.14,776.966013986014,1418.55293,-2.067069,0.958041958041958,greed
2024-02-25,5,4480.13,896.0260000000001,-30.7705,-0.0896,0.0,greed
2024-02-26,39,192187.14,4927.875384615385,4416.8473,-0.09772499999999981,0.8717948717948718,greed
2024-02-27,63,209362.3,3323.2111111111108,888.511733,-3.761609,0.4126984126984127,greed
2024-02-28,45,171107.13,3802.380666666667,2503.747235,-1.377152,0.8666666666666667,greed
2024-02-29,116,395666.73,3410.9200862068965,9813.996992,1.3590849999999999,0.8620689655172413,greed
2024-03-01,137,472974.7,3452.370072992701,8244.241409,-0.546854,0.9343065693430657,greed
2024-03-02,31,63197.56,2038.6309677419354,230.90060000000005,-0.4691290000000001,0.6774193548387096,greed
2024-03-03,79,390745.68,4946.1478481012655,8361.086245,-2.507103,0.6835443037974683,greed
2024-03-04,300,1577996.87,5259.989566666667,27799.775742,-0.559449,0.8866666666666667,greed
2024-03-05,180,841810.32,4676.724,19791.026041,-4.438459,0.9055555555555556,greed
2024-03-06,82,327218.02,3990.4636585365856,6814.825139,-3.355318,0.8780487804878049,greed
2024-03-08,67,183583.18,2740.047462686567,4271.886236,-3.6716290000000003,0.8805970149253731,greed
2024-03-09,117,658178.75,5625.459401709401,9949.501624,1.8517640000000002,0.8290598290598291,greed
2024-03-10,42,219973.85,5237.472619047619,2482.9272,2.281072,0.6904761904761905,greed
2024-03-11,42,176519.44999999998,4202.844047619047,3588.179495,8.47289,0.9285714285714286,greed
2024-03-12,8,103040.85,12880.10625,3039.166,4.945953,0.875,greed
2024-03-13,7,6000.799999999999,857.2571428571428,0.0,2.100278,0.0,greed
2024-03-14,18,205933.18,11440.732222222221,3465.865832,11.716792,0.8888888888888888,greed
2024-03-15,62,351894.41,5675.71629032258,6236.513651,49.485003,0.6612903225806451,greed
2024-03-16,8,37223.66,4652.9575,228.57984,10.52828,0.125,greed
2024-03-17,23,99506.95,4326.389130434783,503.293955,33.763329,0.43478260869565216,greed
2024-03-18,19,90458.08,4760.951578947369,1456.9577,24.943279999999998,0.3157894736842105,greed
2024-03-19,24,219884.84,9161.868333333334,668.797973,25.988312,0.20833333333333334,greed
2024-03-20,69,215705.85,3126.171739130435,6423.134599,39.878838,0.8695652173913043,greed
2024-03-21,28,117895.57,4210.556071428572,2335.5080749999997,16.394750000000002,0.8214285714285714,greed
2024-03-24,19,92592.20999999999,4873.274210526315,1297.018477,8.888837,0.7894736842105263,greed
2024-03-25,7,57116.32,8159.4742857142855,1302.916428,19.990712,0.8571428571428571,greed
2024-03-26,118,198565.19,1682.7558474576272,3215.906593,28.147402999999997,0.9322033898305084,greed
